fips,nameState,nameCounty,abState,SC,PVID,PR,CF,PM
1001,Alabama,Autauga County,AL,0.572731684,0.576322416,0.443379043,0.476892441,0.455869013
1003,Alabama,Baldwin County,AL,0.543193583,0.49239924,0.6982571,0.506818139,0.361800667
1005,Alabama,Barbour County,AL,0.415451739,0.378272873,0.501233137,0.432134008,0.385742717
1007,Alabama,Bibb County,AL,0.500688839,0.472239969,0.422967629,0.400442776,0.490261655
1009,Alabama,Blount County,AL,0.487065882,0.515862652,0.482462274,0.434918059,0.363552498
1011,Alabama,Bullock County,AL,0.426985133,0.333878016,0.482462274,0.388141591,0.483837686
1013,Alabama,Butler County,AL,0.501469897,0.41715419,0.501233137,0.41592196,0.469286188
1015,Alabama,Calhoun County,AL,0.567084213,0.459014976,0.46319282,0.447683547,0.482838506
1017,Alabama,Chambers County,AL,0.489546656,0.43319991,0.443379043,0.402388489,0.472314476
1019,Alabama,Cherokee County,AL,0.393446235,0.416091329,0.501233137,0.408646608,0.424954077
1021,Alabama,Chilton County,AL,0.488331948,0.477025267,0.482462274,0.420397207,0.415728707
1023,Alabama,Choctaw County,AL,0.409488368,0.414993761,0.537432386,0.415030597,0.424391868
1025,Alabama,Clarke County,AL,0.578235393,0.397525782,0.537432386,0.417851011,0.416050182
1027,Alabama,Clay County,AL,0.459328338,0.442364827,0.482462274,0.405083944,0.446704778
1029,Alabama,Cleburne County,AL,0.483612442,0.447090858,0.482462274,0.413293064,0.413953494
1031,Alabama,Coffee County,AL,0.54659573,0.482301975,0.554925679,0.476524417,0.48518234
1033,Alabama,Colbert County,AL,0.534810544,0.470578705,0.46319282,0.463030195,0.438813197
1035,Alabama,Conecuh County,AL,0.420705357,0.391135324,0.501233137,0.369166165,0.446988325
1037,Alabama,Coosa County,AL,0.432294166,0.448122999,0.422967629,0.372078736,0.448385758
1039,Alabama,Covington County,AL,0.459352259,0.414918879,0.588834438,0.440968237,0.453754001
1041,Alabama,Crenshaw County,AL,0.46815043,0.460032504,0.519544993,0.416359995,0.432281914
1043,Alabama,Cullman County,AL,0.509429885,0.478722722,0.605295189,0.458066385,0.45863656
1045,Alabama,Dale County,AL,0.48342088,0.502277734,0.605295189,0.453821093,0.482022945
1047,Alabama,Dallas County,AL,0.46409758,0.377327021,0.501233137,0.39947994,0.476277231
1049,Alabama,DeKalb County,AL,0.488140005,0.448793715,0.652928825,0.440828647,0.468160723
1051,Alabama,Elmore County,AL,0.512195944,0.502075491,0.443379043,0.476003805,0.450098484
1053,Alabama,Escambia County,AL,0.489579439,0.382341527,0.519544993,0.415120325,0.439275184
1055,Alabama,Etowah County,AL,0.567513307,0.438018458,0.588834438,0.443202358,0.492861193
1057,Alabama,Fayette County,AL,0.452172693,0.478450038,0.443379043,0.40296981,0.482670995
1059,Alabama,Franklin County,AL,0.441824567,0.457464851,0.46319282,0.416114809,0.4840472
