fips,nameState,nameCounty,abState,SC,PVID,PR,CF,PM
1001,Alabama,Autauga County,AL,0.521776968194382,0.560222888668584,0.443379043,0.485933434811613,0.361128084168753
1003,Alabama,Baldwin County,AL,0.521229828672142,0.493120850865512,0.6982571,0.509361930887666,0.3002920021722
1005,Alabama,Barbour County,AL,0.462785282103399,0.33648933420524,0.501233137,0.41867635030986,0.361506554081378
1007,Alabama,Bibb County,AL,0.42319063759863,0.483305292160783,0.422967629,0.390020468738501,0.389806179572503
1009,Alabama,Blount County,AL,0.525192658167329,0.525750344368381,0.482462274,0.415591385010453,0.412407115657878
1011,Alabama,Bullock County,AL,0.38459669380043,0.20278236030497,0.482462274,0.375840900480083,0.382287959847628
1013,Alabama,Butler County,AL,0.396712330149604,0.365969194626804,0.501233137,0.422083133833303,0.354106368772128
1015,Alabama,Calhoun County,AL,0.551155412636239,0.425317524776804,0.46319282,0.470725860548622,0.436996061992878
1017,Alabama,Chambers County,AL,0.512959581169481,0.426297134615867,0.443379043,0.422955503223707,0.413674303927128
1019,Alabama,Cherokee County,AL,0.434360719068078,0.442432858205231,0.501233137,0.411696777766416,0.419499973741128
1021,Alabama,Chilton County,AL,0.500538886142289,0.451490028821919,0.482462274,0.392801725467521,0.377965952933753
1023,Alabama,Choctaw County,AL,0.367608477406145,0.376492618285553,0.537432386,0.381690676089715,0.357964739435878
1025,Alabama,Clarke County,AL,0.446696402525131,0.287243086659927,0.537432386,0.417021149190692,0.338109635952753
1027,Alabama,Clay County,AL,0.421654028932461,0.46009928159338,0.482462274,0.42566597991022,0.410412976307475
1029,Alabama,Cleburne County,AL,0.45306419407347,0.476850618645956,0.482462274,0.394657750046768,0.408538526682628
1031,Alabama,Coffee County,AL,0.516885654702224,0.445686167718141,0.554925679,0.519927401223777,0.346892968842628
1033,Alabama,Colbert County,AL,0.477331811703215,0.456166149521378,0.46319282,0.468148405851496,0.468044648688755
1035,Alabama,Conecuh County,AL,0.421167041636605,0.324588216009208,0.501233137,0.374343102074333,0.353983166670628
1037,Alabama,Coosa County,AL,0.452390476578691,0.416789746745915,0.422967629,0.357002412814147,0.396398807957878
1039,Alabama,Covington County,AL,0.362788666531089,0.382315305405252,0.588834438,0.454038665477347,0.358851618192003
1041,Alabama,Crenshaw County,AL,0.447996012670656,0.414057321538586,0.519544993,0.430400198078307,0.357157851649003
1043,Alabama,Cullman County,AL,0.499171879033835,0.480764701231816,0.605295189,0.450600282284246,0.426894223960503
1045,Alabama,Dale County,AL,0.537480551282819,0.501430776952723,0.605295189,0.474547084697562,0.348416245874878
