fips,value
1001,0.455869013
1003,0.361800667
1005,0.385742717
1007,0.490261655
1009,0.363552498
1011,0.483837686
1013,0.469286188
1015,0.482838506
1017,0.472314476
1019,0.424954077
1021,0.415728707
1023,0.424391868
1025,0.416050182
1027,0.446704778
1029,0.413953494
1031,0.48518234
1033,0.438813197
1035,0.446988325
1037,0.448385758
1039,0.453754001
1041,0.432281914
1043,0.45863656
1045,0.482022945
1047,0.476277231
1049,0.468160723
1051,0.450098484
1053,0.439275184
1055,0.492861193
1057,0.482670995
1059,0.4840472
1061,0.44544379
1063,0.462198291
1065,0.374278006
1067,0.425960961
1069,0.474019375
1071,0.483464377
1073,0.546451349
1075,0.486969014
1077,0.478381428
1079,0.408829097
1081,0.419301814
1083,0.468817459
1085,0.456900566
1087,0.430973515
1089,0.516051523
1091,0.389823073
1093,0.493067324
1095,0.454494073
1097,0.488620076
1099,0.384250595
1101,0.558475935
1103,0.507299592
1105,0.446528577
1107,0.468517167
1109,0.429225023
1111,0.385119023
1113,0.466602749
1115,0.441986611
1117,0.464400981
1119,0.428093306
1121,0.44503868
1123,0.393654904
1125,0.491874396
1127,0.465692628
1129,0.400448305
1131,0.417575599
1133,0.475072146
2013,0.469605035
2016,0.596321312
2020,0.413620414
2050,0.3804868
2060,0.535561284
2068,0.447810675
2070,0.381791905
2090,0.477580611
2100,0.353080895
2110,0.459005777
2122,0.372421418
2130,0.406077081
2150,0.477170165
2164,0.512561305
2170,0.387111703
2180,0.4479097
2185,0.540236058
2188,0.505203929
2220,0.360492804
2240,0.422466733
2261,0.379935596
2270,0.498086831
2282,0.523217772
2290,0.443495877
4001,0.416078288
4003,0.414088631
4005,0.436842525
4007,0.426627565
4009,0.48065821
4011,0.494330272
4012,0.406295293
4013,0.535339901
4015,0.391943212
4017,0.409312988
4019,0.442502044
4021,0.390195738
4023,0.453943439
4025,0.417777369
4027,0.376312913
5001,0.450042613
5003,0.440258764
5005,0.529207508
5007,0.433935276
5009,0.483089162
5011,0.49527495
5013,0.409037847
5015,0.428846498
5017,0.492926766
5019,0.438036951
5021,0.49561114
5023,0.421120939
5025,0.451576217
5027,0.472313844
5029,0.503377694
5031,0.52867989
5033,0.443239238
5035,0.460352151
5037,0.466927234
5039,0.511713127
5041,0.460397526
5043,0.419099476
5045,0.41380424
5047,0.432010724
5049,0.459124093
