fips,value
1001,0.443379043
1003,0.6982571
1005,0.501233137
1007,0.422967629
1009,0.482462274
1011,0.482462274
1013,0.501233137
1015,0.46319282
1017,0.443379043
1019,0.501233137
1021,0.482462274
1023,0.537432386
1025,0.537432386
1027,0.482462274
1029,0.482462274
1031,0.554925679
1033,0.46319282
1035,0.501233137
1037,0.422967629
1039,0.588834438
1041,0.519544993
1043,0.605295189
1045,0.605295189
1047,0.501233137
1049,0.652928825
1051,0.443379043
1053,0.519544993
1055,0.588834438
1057,0.443379043
1059,0.46319282
1061,0.605295189
1063,0.422967629
1065,0.443379043
1067,0.519544993
1069,0.519544993
1071,0.554925679
1073,0.727359887
1075,0.519544993
1077,0.443379043
1079,0.482462274
1081,0.46319282
1083,0.482462274
1085,0.401895782
1087,0.482462274
1089,0.46319282
1091,0.422967629
1093,0.501233137
1095,0.588834438
1097,0.683381924
1099,0.501233137
1101,0.501233137
1103,0.482462274
1105,0.443379043
1107,0.443379043
1109,0.422967629
1111,0.482462274
1113,0.501233137
1115,0.588834438
1117,0.519544993
1119,0.422967629
1121,0.519544993
1123,0.401895782
1125,0.572051729
1127,0.519544993
1129,0.537432386
1131,0.443379043
1133,0.519544993
2013,0.195307869
2016,0.195307869
2020,0.16089659
2050,0.309241069
2060,0.226763411
2068,0.380088658
2070,0.255956298
2090,0.401895782
2100,0.16089659
2110,0.16089659
2122,0.482462274
2130,0.16089659
2150,0.309241069
2164,0.195307869
2170,0.443379043
2180,0.195307869
2185,0.283342437
2188,0.255956298
2220,0.16089659
2240,0.255956298
2261,0.283342437
2270,0.283342437
2282,0.16089659
2290,0.46319282
4001,0.401895782
4003,0.380088658
4005,0.501233137
4007,0.519544993
4009,0.380088658
4011,0.380088658
4012,0.226763411
4013,0.482462274
4015,0.422967629
4017,0.519544993
4019,0.401895782
4021,0.46319282
4023,0.255956298
4025,0.537432386
4027,0.195307869
5001,0.46319282
5003,0.443379043
5005,0.537432386
5007,0.588834438
5009,0.554925679
5011,0.588834438
5013,0.537432386
5015,0.519544993
5017,0.46319282
5019,0.605295189
5021,0.588834438
5023,0.588834438
5025,0.519544993
5027,0.572051729
5029,0.652928825
5031,0.621453202
5033,0.621453202
5035,0.554925679
5037,0.572051729
5039,0.519544993
5041,0.46319282
5043,0.501233137
5045,0.605295189
5047,0.621453202
5049,0.637325836
5051,0.554925679
5053,0.501233137
5055,0.621453202
