fips,nameState,nameCounty,abState,SC,PVID,PR,CF,PM,abs_Resilience,rel_Resilience,Resistance,Recovery,CFend
1001,Alabama,Autauga County,AL,0.572731684,0.576322416,0.443379043,0.476892441,0.455869013,0.405814515415003,0.850956065824919,0.640150258542369,0.0439250784097405,0.467454742331697
1003,Alabama,Baldwin County,AL,0.543193583,0.49239924,0.6982571,0.506818139,0.361800667,0.453386642857333,0.894574617538172,0.706298389799075,0.0503033726665224,0.503142514162954
1005,Alabama,Barbour County,AL,0.415451739,0.378272873,0.501233137,0.432134008,0.385742717,0.382163018605783,0.88436228468689,0.715854384892253,0.0445673456213775,0.425943813187319
1007,Alabama,Bibb County,AL,0.500688839,0.472239969,0.422967629,0.400442776,0.490261655,0.341447687746605,0.852675358904726,0.653799002968182,0.0426865084138345,0.391729170818594
1009,Alabama,Blount County,AL,0.487065882,0.515862652,0.482462274,0.434918059,0.363552498,0.378409429574399,0.870070629958365,0.682178771628027,0.0444215803105033,0.427799104317868
1011,Alabama,Bullock County,AL,0.426985133,0.333878016,0.482462274,0.388141591,0.483837686,0.339730154818401,0.87527377301445,0.697936523701812,0.0439374797084002,0.381796154966737
1013,Alabama,Butler County,AL,0.501469897,0.41715419,0.501233137,0.41592196,0.469286188,0.362389157203782,0.87129123262398,0.681439042505673,0.0449300568158198,0.409525935122301
1015,Alabama,Calhoun County,AL,0.567084213,0.459014976,0.46319282,0.447683547,0.482838506,0.386572576635009,0.863495161315386,0.665345933564563,0.0445254476724158,0.440106498797369
1017,Alabama,Chambers County,AL,0.489546656,0.43319991,0.443379043,0.402388489,0.472314476,0.346877478216881,0.862046225723124,0.671198384664933,0.0432748980493788,0.394639214844382
1019,Alabama,Cherokee County,AL,0.393446235,0.416091329,0.501233137,0.408646608,0.424954077,0.356834868001996,0.873211378771548,0.692029176070458,0.0441179014755368,0.401885574822821
1021,Alabama,Chilton County,AL,0.488331948,0.477025267,0.482462274,0.420397207,0.415728707,0.364980188786437,0.868179385374549,0.678084808980843,0.0443495567291385,0.413375681090587
1023,Alabama,Choctaw County,AL,0.409488368,0.414993761,0.537432386,0.415030597,0.424391868,0.364225777299896,0.877587772883878,0.695486185319698,0.0451689456910693,0.409038058713027
1025,Alabama,Clarke County,AL,0.578235393,0.397525782,0.537432386,0.417851011,0.416050182,0.370302396446559,0.88620677394163,0.706594844211943,0.0466612748644441,0.413160972980537
1027,Alabama,Clay County,AL,0.459328338,0.442364827,0.482462274,0.405083944,0.446704778,0.351355190791925,0.867363903201074,0.678172355557854,0.0440692294295214,0.398081807840681
1029,Alabama,Cleburne County,AL,0.483612442,0.447090858,0.482462274,0.413293064,0.413953494,0.360366916182607,0.871940391873131,0.686929877292027,0.0443716590215518,0.40662867278592
1031,Alabama,Coffee County,AL,0.54659573,0.482301975,0.554925679,0.476524417,0.48518234,0.414343019895157,0.869510575142589,0.665266966536858,0.0466006266294108,0.470143178182466
1033,Alabama,Colbert County,AL,0.534810544,0.470578705,0.46319282,0.463030195,0.438813197,0.40127018948591,0.866617758018805,0.67403232018589,0.0443901200333089,0.455235170618109
1035,Alabama,Conecuh County,AL,0.420705357,0.391135324,0.501233137,0.369166165,0.446988325,0.32267667287584,0.874068924696389,0.69276221245143,0.0442704023703425,0.363256862341454
1037,Alabama,Coosa County,AL,0.432294166,0.448122999,0.422967629,0.372078736,0.448385758,0.319349528391207,0.858284813113337,0.670328675580639,0.0422158738362647,0.363963228422697
