fips,Communication,Economy,Education,Food and Water,Government,Healthcare Delivery and Public Health Services,Housing,Nurturing and Care,Population Well being,Transportation,Engineered Systems,Natural Systems,Preparedness,Deprivation,Inequality,Vulnerability,Social Cohesion
1001,0.807125398,0.503610493,0.378839662,0.474109695,0.49629533,0.476574744,0.446440665,0.197320507,0.402425556,0.306918414,0.604815222,0.394989457,0.443379043,0.544868666,0.601204958,0.51360823,0.511592844
1003,0.641530679,0.580229929,0.375213259,0.511929063,0.418439145,0.510576623,0.542651782,0.427893253,0.520327828,0.391375847,0.538727839,0.263712551,0.6982571,0.53502932,0.465409643,0.512034375,0.506434244
1005,0.311858224,0.442790434,0.350670687,0.508030809,0.499613209,0.455601296,0.466080348,0.344494128,0.333656074,0.463519895,0.427003627,0.375370267,0.501233137,0.347268142,0.371219459,0.403389666,0.517325489
1007,0.311858224,0.32913344,0.36807798,0.536550539,0.415684906,0.389583918,0.472691076,,0.337579832,0.321776077,0.548347795,0.421545377,0.422967629,0.454180808,0.576545798,0.446172764,0.493426231
1009,0.476390088,0.388442474,0.428335092,0.448517341,0.278898694,0.414462766,0.426840947,0.33557283,0.37254122,0.391375847,0.433482451,0.464245328,0.482462274,0.491410373,0.532130635,0.497683361,0.521747482
1011,0.311858224,0.210878285,0.351551914,0.444663817,0.544582496,0.453397447,0.439499647,0.52787409,0.229887984,0.418386877,0.493415173,0.382119608,0.482462274,0.298623726,0.132224077,0.409607069,0.55813026
1013,0.476390088,0.440332331,0.396347216,0.441999918,0.515266493,0.415831188,0.497124845,0.535700043,0.295117002,0.27236923,0.544125999,0.347804167,0.501233137,0.363940055,0.374902261,0.452225747,0.503316605
1015,0.476390088,0.485735405,0.401221618,0.569127251,0.67697386,0.455869248,0.514437462,0.374687959,0.297580968,0.35990643,0.519551327,0.458354575,0.46319282,0.420369827,0.412111531,0.494828937,0.563216533
1017,0.476390088,0.350586827,0.430881072,0.491865994,0.491268776,0.447894087,0.519931074,0.519481505,0.235528166,0.27236923,0.507312198,0.42432946,0.443379043,0.352819379,0.520190339,0.458289695,0.565197498
1019,0.476390088,0.349897439,0.406683017,0.449640602,0.397513401,0.469860954,0.600796405,0.355864419,0.318768088,0.25169237,0.467831886,0.481088095,0.501233137,0.372822291,0.465409643,0.47727654,0.539039452
1021,0.311858224,0.437795756,0.400135495,0.486285326,0.370050455,0.416577553,0.444962447,0.246240245,0.335021816,0.35990643,0.48836101,0.417447304,0.482462274,0.425757515,0.419638047,0.499076416,0.561833425
1023,0.311858224,0.396861871,0.371627986,0.375760303,0.549202638,0.434861189,0.578885134,0.481896393,0.318409484,0.321776077,0.46742001,0.359275847,0.537432386,0.368598429,0.397143852,0.430769906,0.584085632
1025,0.311858224,0.525472296,0.405066509,0.446130718,0.562885808,0.434206931,0.508656854,0.357106717,0.311158561,0.335432251,0.445670209,0.318289356,0.537432386,0.346185096,0.165148522,0.468982561,0.49094457
1027,0.476390088,0.346918649,0.42766439,0.430146157,0.5157665,0.434310691,0.558607679,0.611563022,0.338494047,0.335432251,0.477703508,0.439017621,0.482462274,0.410050114,0.53612696,0.448711688,0.584443614
1029,0.311858224,0.321164259,0.531791275,0.421419265,0.392485724,0.359245667,0.486551286,,0.342712969,0.434551017,0.46145608,0.455890856,0.482462274,0.381963775,0.52416236,0.475781633,0.578913701
1031,0.641530679,0.510918732,0.437435732,0.450136767,0.898463262,0.483465089,0.539900356,0.216821577,0.378070171,0.409789573,0.597951612,0.333439272,0.554925679,0.47890551,0.415871208,0.489608543,0.543039317
1033,0.476390088,0.515059933,0.406992827,0.554237639,0.521632465,0.511283254,0.540523386,0.428813551,0.328590422,0.370998718,0.467832352,0.485482011,0.46319282,0.445031197,0.480906115,0.487951329,0.501228887
1035,0.311858224,0.298869106,0.42166377,0.402213418,0.565700088,0.4200353,0.595364729,0.490945842,0.314115587,0,0.464661319,0.328667069,0.501233137,0.306848037,0.298960482,0.468927588,0.501585449
1037,0.311858224,0.18861079,0.273510842,0.415491122,0.432183439,0.40683538,0.466582763,,0.293376067,0.27236923,0.468631607,0.420337966,0.422967629,0.414899656,0.450034149,0.487601324,0.516232032
1039,0.476390088,0.481248118,0.437849203,0.464608676,0.531365863,0.461681443,0.536972094,0.50052819,0.360419196,0.42662998,0.490530541,0.328424719,0.588834438,0.406363269,0.331152889,0.432935277,0.497408447
1041,0.476390088,0.406009755,0.487912235,0.464433099,0.529650159,0.434924156,0.541664486,0.481237387,0.317834828,0.400800595,0.467041194,0.352633437,0.519544993,0.448613673,0.363874291,0.461578836,0.52920775
1043,0.311858224,0.48456807,0.416758032,0.526498665,0.448390723,0.4866636,0.510030524,0.408252513,0.362481126,0.321776077,0.51402382,0.466350046,0.605295189,0.483238484,0.442391133,0.492566989,0.583576563
1045,0.476390088,0.436239497,0.395927512,0.493236806,0.638828778,0.464528067,0.614425692,0.36282764,0.38004182,0.50076869,0.57006642,0.337580994,0.605295189,0.481506964,0.52416236,0.485585935,0.516178241
1047,0.311858224,0.339323258,0.352744131,0.477299044,0.649676775,0.457399793,0.475502051,0.471645222,0.21236497,0.391375847,0.527533757,0.387558889,0.501233137,0.262557379,0.191880261,0.448075419,0.522276495
1049,0.311858224,0.406045066,0.50437444,0.472963112,0.372022724,0.469952986,0.43917168,0.432870557,0.337726116,0.391375847,0.497974536,0.486926128,0.652928825,0.407242763,0.408358986,0.493376822,0.524148473
1051,0.641530679,0.448771094,0.352297618,0.485417667,0.445195325,0.479268998,0.448763829,0.455475175,0.413640392,0.321776077,0.58751407,0.401556649,0.443379043,0.486347681,0.601204958,0.472660654,0.450854097
1053,0.476390088,0.440009569,0.394496317,0.465742788,0.45546699,0.416304566,0.511026118,0.417902143,0.293759828,0.348090908,0.491897275,0.302206026,0.519544993,0.344432149,0.371219459,0.411444556,0.500702903
1055,0.476390088,0.462949436,0.408488792,0.560655405,0.520643198,0.464362185,0.5023236,0.467508787,0.297080281,0.306918414,0.515145546,0.46667489,0.588834438,0.41793514,0.412111531,0.467863534,0.562751818
1057,0.311858224,0.395241323,0.472838097,0.504365539,0.491709933,0.507790515,0.595904446,,0.250571656,0.391375847,0.491893771,0.447464167,0.443379043,0.457159087,0.54816512,0.433006801,0.521316477
1059,0.311858224,0.441682334,0.516783432,0.485247733,0.471835944,0.426761399,0.564785747,0.587857627,0.267307316,0.321776077,0.487065423,0.474613722,0.46319282,0.402365039,0.408358986,0.485200346,0.607150497
